name_raw,is_recommended,recommendation_rank,sentiment,citation_type,context,name_normalized,run_id,model_source,timestamp_utc,query_family
Nike Pegasus (Modelo 40 o 41),True,1,positive,unknown,"La zapatilla más vendida de la historia. Es equilibrada, duradera y sirve tanto para ir al gimnasio como para correr 10-15 km.",Nike,run-20260315-001,google_gemini_2_5_pro,2026-03-15T14:37:09.999Z,informational
Brooks Ghost 16,True,2,positive,unknown,Un clásico para corredores neutros. Destaca por su comodidad y por ser muy fiable; no fallan nunca.,Brooks,run-20260315-001,google_gemini_2_5_pro,2026-03-15T14:37:09.999Z,informational
Saucony Ride 17,True,3,positive,unknown,"Muy equilibrada, con una amortiguación que se siente firme pero cómoda.",Saucony,run-20260315-001,google_gemini_2_5_pro,2026-03-15T14:37:09.999Z,informational
New Balance Fresh Foam 880 v14,True,4,positive,unknown,Una apuesta segura por la comodidad sin ser excesivamente blanda.,New Balance,run-20260315-001,google_gemini_2_5_pro,2026-03-15T14:37:09.999Z,informational
Asics Gel-Nimbus 26,True,5,positive,unknown,Considerada por muchos como la zapatilla más cómoda del mercado. Es como correr sobre nubes.,Asics,run-20260315-001,google_gemini_2_5_pro,2026-03-15T14:37:09.999Z,informational
Hoka Clifton 9,True,6,positive,unknown,Famosas por su ligereza a pesar de su gran suela. Tienen un diseño de balancín que facilita la transición de la pisada.,Hoka,run-20260315-001,google_gemini_2_5_pro,2026-03-15T14:37:09.999Z,informational
Brooks Glycerin 21,True,7,positive,unknown,Máximo confort con una amortiguación muy suave (DNA Loft v3).,Brooks,run-20260315-001,google_gemini_2_5_pro,2026-03-15T14:37:09.999Z,informational
New Balance Fresh Foam 1080 v13,True,8,positive,unknown,"Muy blanda y flexible, excelente para evitar la fatiga en las piernas.",New Balance,run-20260315-001,google_gemini_2_5_pro,2026-03-15T14:37:09.999Z,informational
Asics Novablast 4,True,9,positive,unknown,"Una de las favoritas actualmente. Tienen mucho rebote, son divertidas y sirven tanto para rodar como para ir rápido.",Asics,run-20260315-001,google_gemini_2_5_pro,2026-03-15T14:37:09.999Z,informational
Saucony Endorphin Speed 4,True,10,positive,unknown,Lleva una placa de nylon (menos rígida que el carbono). Es increíblemente rápida y ligera.,Saucony,run-20260315-001,google_gemini_2_5_pro,2026-03-15T14:37:09.999Z,informational
Hoka Mach 6,True,11,positive,unknown,"Muy reactiva, ligera y sin placa, ideal para entrenamientos de calidad.",Hoka,run-20260315-001,google_gemini_2_5_pro,2026-03-15T14:37:09.999Z,informational
Adidas Adizero SL 2,True,12,positive,unknown,Una opción excelente en relación calidad-precio para entrenamientos alegres.,Adidas,run-20260315-001,google_gemini_2_5_pro,2026-03-15T14:37:09.999Z,informational
Asics Gel-Kayano 30,True,13,positive,unknown,La reina de la estabilidad con una amortiguación premium.,Asics,run-20260315-001,google_gemini_2_5_pro,2026-03-15T14:37:09.999Z,informational
Brooks Adrenaline GTS 23,True,14,positive,unknown,Utiliza una tecnología llamada 'GuideRails' que solo actúa si tu pie lo necesita.,Brooks,run-20260315-001,google_gemini_2_5_pro,2026-03-15T14:37:09.999Z,informational
Saucony Guide 17,True,15,positive,unknown,Muy estable y con una base ancha para mayor seguridad.,Saucony,run-20260315-001,google_gemini_2_5_pro,2026-03-15T14:37:09.999Z,informational
