query,page,clicks,impressions,ctr,position,date
viaje a lisboa,https://booking.com/lisboa,320,4500,7.1%,3.2,2026-03-01
booking lisboa hotel,https://booking.com/lisboa,180,950,18.9%,1.8,2026-03-01
airbnb lisboa apartamento,https://airbnb.com/lisboa,95,780,12.2%,2.1,2026-03-01
hoteles baratos lisboa,https://booking.com/lisboa-baratos,210,3800,5.5%,4.5,2026-03-01
comparar booking airbnb,https://booking.com/vs-airbnb,45,620,7.3%,5.2,2026-03-01
escapada fin de semana oporto,https://booking.com/oporto,150,2100,7.1%,3.8,2026-03-01
mejor crm pyme,https://hubspot.com/es/crm,280,3200,8.8%,2.9,2026-03-01
hubspot precios,https://hubspot.com/es/pricing,420,1800,23.3%,1.5,2026-03-01
salesforce vs hubspot,https://hubspot.com/es/comparar,85,950,8.9%,4.1,2026-03-01
crm gratuito,https://hubspot.com/es/free,190,4100,4.6%,5.8,2026-03-01
pipedrive opiniones,https://pipedrive.com/es,65,480,13.5%,2.4,2026-03-01
zapatillas running principiante,https://nike.com/running,340,5200,6.5%,3.6,2026-03-01
nike pegasus opiniones,https://nike.com/pegasus,520,2800,18.6%,1.4,2026-03-01
mejores zapatillas correr 2026,https://nike.com/running-2026,180,4800,3.8%,6.2,2026-03-01
asics gel nimbus vs nike pegasus,https://nike.com/vs-asics,70,890,7.9%,4.8,2026-03-01
hoka clifton review,https://hoka.com/clifton,95,1200,7.9%,3.1,2026-03-01
comprar zapatillas running baratas,https://nike.com/ofertas,250,6100,4.1%,7.3,2026-03-01
adidas ultraboost 2026,https://adidas.com/ultraboost,110,1500,7.3%,3.5,2026-03-01
new balance fresh foam,https://newbalance.com/fresh-foam,88,980,9.0%,2.8,2026-03-01
